eth_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-31T00:00:00.0000000Z,1841.75,1947.96,1771.12,1918.89,85079.79330855,43844
2021-04-01T00:00:00.0000000Z,1919.47,1982.75,1885.47,1968.04,55882.25667852,34701
2021-04-02T00:00:00.0000000Z,1968.29,2143.99,1950.12,2134.29,78982.28557849,40905
2021-04-03T00:00:00.0000000Z,2134.65,2138.87,2002.46,2010.78,53221.65467075,32537
2021-04-04T00:00:00.0000000Z,2010.77,2091.55,1981.0,2076.53,37623.64355363,25209
2021-04-05T00:00:00.0000000Z,2076.18,2129.92,2003.55,2107.51,57381.0985842,34269
2021-04-06T00:00:00.0000000Z,2108.02,2150.0,2045.67,2112.59,54513.69809166,30856
2021-04-07T00:00:00.0000000Z,2112.59,2128.0,1930.18,1961.94,73957.70188507,49175
2021-04-08T00:00:00.0000000Z,1962.81,2084.46,1950.0,2081.15,46783.80794969,30298
2021-04-09T00:00:00.0000000Z,2080.63,2100.65,2050.0,2066.36,29746.47358336,17879
2021-04-10T00:00:00.0000000Z,2066.64,2195.46,2057.35,2134.14,59346.1106693,39820
2021-04-11T00:00:00.0000000Z,2133.99,2163.94,2113.32,2148.99,28665.07954839,21025
2021-04-12T00:00:00.0000000Z,2149.0,2200.0,2102.0,2137.61,44459.0537495,25901
2021-04-13T00:00:00.0000000Z,2137.11,2315.1,2136.35,2299.66,65680.67013392,40567
2021-04-14T00:00:00.0000000Z,2299.91,2445.0,2283.16,2432.04,70364.69529371,48573
2021-04-15T00:00:00.0000000Z,2432.03,2500.0,2401.14,2499.9,61291.67747981,38420
2021-04-16T00:00:00.0000000Z,2517.11,2548.53,2308.0,2426.14,94787.88939435,54922
2021-04-17T00:00:00.0000000Z,2425.99,2496.82,2315.55,2318.27,55680.76905993,33431
2021-04-19T00:00:00.0000000Z,2240.98,2279.66,2079.9,2162.94,83836.51101466,52397
2021-04-20T00:00:00.0000000Z,2163.55,2349.48,2051.63,2332.15,144663.6749233,67567
2021-04-21T00:00:00.0000000Z,2332.15,2470.0,2237.51,2358.01,131809.27307878,59563
2021-04-22T00:00:00.0000000Z,2358.01,2644.41,2307.72,2401.22,247159.94939799,113840
2021-04-23T00:00:00.0000000Z,2401.0,2442.61,2106.62,2369.08,233704.75637447,121553
2021-04-24T00:00:00.0000000Z,2369.07,2371.15,2307.77,2308.76,2542.5265958,1097
2021-04-25T00:00:00.0000000Z,2217.06,2355.55,2165.0,2321.78,120029.39886601,55393
2021-04-26T00:00:00.0000000Z,2322.09,2543.69,2305.32,2536.12,144895.20403866,63451
2021-04-27T00:00:00.0000000Z,2535.29,2680.3,2483.87,2669.15,99572.45622123,49111
2021-04-28T00:00:00.0000000Z,2669.5,2761.74,2561.2,2749.19,149863.12058758,75435
2021-04-29T00:00:00.0000000Z,2750.0,2800.0,2671.07,2758.17,88332.40724146,48248
2021-04-30T00:00:00.0000000Z,2758.17,2799.75,2727.34,2776.47,58317.08496678,33768
2021-05-01T00:00:00.0000000Z,2776.47,2954.0,2757.14,2947.07,73418.93645314,40407
2021-05-02T00:00:00.0000000Z,2947.06,2985.7,2858.0,2951.66,60747.65358752,32868
2021-05-03T00:00:00.0000000Z,2951.67,3456.27,2951.67,3431.59,179802.43630896,99305
2021-05-04T00:00:00.0000000Z,3431.6,3529.99,3171.5,3242.02,206138.44766192,122485
2021-05-05T00:00:00.0000000Z,3242.01,3547.84,3211.22,3526.38,116534.78109953,71154
2021-05-06T00:00:00.0000000Z,3527.48,3609.72,3382.27,3490.92,106219.69861053,65599
2021-05-07T00:00:00.0000000Z,3491.82,3590.0,3358.0,3482.94,66404.1555283,48612
2021-05-08T00:00:00.0000000Z,3482.85,3960.0,3455.0,3914.12,106384.83159438,68733
2021-05-09T00:00:00.0000000Z,3914.11,3983.0,3730.0,3927.0,90527.71956388,61738
2021-05-10T00:00:00.0000000Z,3928.27,4213.17,3500.0,3950.3,156560.00229024,104549
2021-05-11T00:00:00.0000000Z,3949.27,4181.98,3779.4,4176.0,124635.68126528,82196
2021-05-12T00:00:00.0000000Z,4176.0,4380.0,3727.27,3858.37,181775.25306416,121598
2021-05-13T00:00:00.0000000Z,3833.9,4039.95,3521.0,3717.06,194713.38380136,136591
2021-05-14T00:00:00.0000000Z,3718.97,4178.65,3693.2,4081.01,104788.65398129,73521
2021-05-15T00:00:00.0000000Z,4081.0,4134.76,3634.0,3647.75,96841.64608109,63801
2021-05-16T00:00:00.0000000Z,3648.15,4200.0,3337.58,3586.04,137111.38550712,83401
2021-05-17T00:00:00.0000000Z,3586.3,3587.23,3121.0,3285.06,191911.44451094,103951
2021-05-18T00:00:00.0000000Z,3282.56,3567.25,3242.01,3377.58,95324.16366463,64227
2021-05-19T00:00:00.0000000Z,3376.84,3443.07,1840.66,2443.62,454993.46550943,227564
2021-05-20T00:00:00.0000000Z,2443.62,2995.8,2150.01,2770.82,220544.33939603,123748
2021-05-21T00:00:00.0000000Z,2773.98,2943.0,2104.05,2433.68,266001.8980083,120057
2021-05-22T00:00:00.0000000Z,2433.42,2489.9,2155.94,2297.09,139354.79127065,67179
2021-05-23T00:00:00.0000000Z,2297.15,2382.88,1732.0,2097.48,355954.66710906,142820
2021-05-24T00:00:00.0000000Z,2100.07,2679.0,2084.63,2649.28,216927.1264096,105499
2021-05-25T00:00:00.0000000Z,2651.02,2755.29,2377.0,2709.86,240358.46394389,105657
2021-05-26T00:00:00.0000000Z,2707.69,2910.0,2647.53,2889.61,156018.95857952,77743
2021-05-27T00:00:00.0000000Z,2889.63,2892.61,2640.45,2742.84,116281.16589074,57056
2021-05-28T00:00:00.0000000Z,2742.99,2762.39,2326.92,2408.96,157573.5503787,71874
2021-05-29T00:00:00.0000000Z,2412.59,2575.84,2208.95,2278.45,120768.80107245,55059
2021-05-30T00:00:00.0000000Z,2280.22,2479.87,2183.71,2387.52,91101.21876468,44349
2021-05-31T00:00:00.0000000Z,2386.72,2719.43,2276.44,2705.69,109920.1801244,52089
2021-06-01T00:00:00.0000000Z,2705.26,2740.19,2525.97,2634.34,101727.736027,50519
2021-06-02T00:00:00.0000000Z,2634.34,2803.52,2551.28,2705.05,101439.39806454,47296
2021-06-03T00:00:00.0000000Z,2705.05,2888.88,2662.0,2854.24,97798.75178709,45759
2021-06-04T00:00:00.0000000Z,2854.99,2860.28,2554.0,2692.49,93884.2590056,55636
2021-06-05T00:00:00.0000000Z,2692.46,2817.23,2548.12,2627.81,101662.39484915,50184
2021-06-06T00:00:00.0000000Z,2627.68,2747.44,2615.66,2712.03,65910.80460784,30121
2021-06-07T00:00:00.0000000Z,2711.78,2848.0,2570.33,2593.69,109684.53750365,52897
2021-06-08T00:00:00.0000000Z,2592.86,2621.65,2310.2,2509.56,134837.76220726,67991
2021-06-09T00:00:00.0000000Z,2509.15,2626.28,2408.28,2608.1,89618.4429927,47309
2021-06-10T00:00:00.0000000Z,2610.45,2624.97,2429.67,2470.57,61564.52299186,34798
2021-06-11T00:00:00.0000000Z,2470.58,2496.04,2322.18,2356.79,59911.06230137,31831
2021-06-12T00:00:00.0000000Z,2353.98,2453.03,2258.59,2367.75,56409.58904163,32691
2021-06-13T00:00:00.0000000Z,2369.82,2555.59,2311.0,2509.91,70029.16075547,36717
2021-06-14T00:00:00.0000000Z,2509.98,2613.9,2461.47,2582.57,56754.45559792,29424
2021-06-15T00:00:00.0000000Z,2582.45,2639.41,2508.89,2543.03,48164.48288891,25282
2021-06-16T00:00:00.0000000Z,2543.86,2555.0,2352.09,2367.47,56722.49143553,29623
2021-06-17T00:00:00.0000000Z,2367.47,2457.61,2304.27,2371.99,47116.84983768,29357
2021-06-18T00:00:00.0000000Z,2371.97,2377.0,2135.0,2232.9,73915.57957292,35736
2021-06-19T00:00:00.0000000Z,2232.9,2277.06,2162.02,2166.27,32336.71648585,23480
2021-06-20T00:00:00.0000000Z,2166.26,2275.83,2044.32,2243.1,87104.35862536,35646
2021-06-21T00:00:00.0000000Z,2243.65,2258.88,1865.01,1886.83,144855.35601542,68892
2021-06-22T00:00:00.0000000Z,1886.83,1998.35,1701.1,1879.95,147490.04920378,69827
2021-06-23T00:00:00.0000000Z,1879.97,2045.65,1851.02,1967.62,58201.72588469,33715
2021-06-24T00:00:00.0000000Z,1968.15,2036.08,1885.0,1988.19,54426.68877449,23200
2021-06-25T00:00:00.0000000Z,1988.19,2020.0,1792.81,1810.18,85146.42516417,31519
2021-06-26T00:00:00.0000000Z,1810.17,1851.93,1715.0,1830.01,80388.86908758,27531
2021-06-27T00:00:00.0000000Z,1830.01,1984.14,1808.1,1983.32,71999.51960328,23714
2021-06-28T00:00:00.0000000Z,1983.32,2145.0,1962.41,2083.45,78619.54935622,37773
2021-06-29T00:00:00.0000000Z,2084.16,2244.0,2076.29,2166.12,58407.95319564,30235
2021-06-30T00:00:00.0000000Z,2164.18,2286.99,2088.49,2276.66,88266.85072758,33673
2021-07-01T00:00:00.0000000Z,2276.89,2277.08,2075.0,2109.25,65457.64044604,27708
