atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-12-17T00:00:00.0000000Z,4.0675,4.1353,3.5621,3.6271,135898.75109391,1223
2019-12-18T00:00:00.0000000Z,3.6249,4.4728,3.594,4.283,129798.12680137,1282
2019-12-19T00:00:00.0000000Z,4.2736,4.363,4.08,4.2412,67220.52937947,718
2019-12-20T00:00:00.0000000Z,4.2439,4.3575,4.1104,4.2809,21134.96352244,304
2019-12-21T00:00:00.0000000Z,4.2809,4.3017,4.05,4.05,37547.78023924,507
2019-12-22T00:00:00.0000000Z,4.0495,4.1984,4.04,4.1837,17260.19385357,183
2019-12-23T00:00:00.0000000Z,4.2701,4.336,4.1248,4.266,26750.46553426,278
2019-12-24T00:00:00.0000000Z,4.2646,4.4033,4.2263,4.3596,83536.52724275,856
2019-12-25T00:00:00.0000000Z,4.3416,4.3416,4.15,4.2453,12656.70724895,247
2019-12-26T00:00:00.0000000Z,4.2642,4.6111,4.264,4.5357,71478.96657273,682
2019-12-27T00:00:00.0000000Z,4.5249,4.75,4.4363,4.4929,107645.68237579,1234
2019-12-28T00:00:00.0000000Z,4.5214,4.6935,4.3997,4.4345,34683.53417705,332
2019-12-29T00:00:00.0000000Z,4.3885,4.4456,4.1963,4.2102,85072.74388585,540
2019-12-30T00:00:00.0000000Z,4.2132,4.364,4.1,4.138,25667.30597994,363
2019-12-31T00:00:00.0000000Z,4.1226,4.2703,4.0981,4.174,37065.82896629,429
2020-01-01T00:00:00.0000000Z,4.2022,4.4416,4.1789,4.3701,18193.15785316,361
2020-01-02T00:00:00.0000000Z,4.3557,4.3625,4.0624,4.0624,11341.20367823,251
2020-01-03T00:00:00.0000000Z,4.0591,4.3224,3.9676,4.2398,85728.50279768,970
2020-01-04T00:00:00.0000000Z,4.2233,4.32,4.1886,4.2315,30784.10748516,295
2020-01-05T00:00:00.0000000Z,4.2392,4.3343,4.17,4.17,23258.14479114,388
2020-01-06T00:00:00.0000000Z,4.1865,4.2338,4.01,4.1065,30673.66340092,369
2020-01-07T00:00:00.0000000Z,4.1253,4.2252,4.0576,4.0769,25949.72762251,411
2020-01-09T00:00:00.0000000Z,3.9711,4.2249,3.9556,4.2249,45731.97873661,515
2020-01-10T00:00:00.0000000Z,4.2366,4.4,4.1829,4.2858,76324.54831806,609
2020-01-11T00:00:00.0000000Z,4.309,4.421,4.25,4.2656,24451.26831913,259
2020-01-12T00:00:00.0000000Z,4.2533,4.3175,4.2011,4.2398,11376.0096559,172
2020-01-13T00:00:00.0000000Z,4.2189,4.3103,4.1093,4.251,22702.41865112,266
2020-01-14T00:00:00.0000000Z,4.2672,4.667,4.2199,4.5472,128477.15008094,942
2020-01-15T00:00:00.0000000Z,4.5,4.8,4.41,4.5505,213452.03874851,1770
2020-01-16T00:00:00.0000000Z,4.54,5.2,4.2,5.0956,364557.64387004,2400
2020-01-17T00:00:00.0000000Z,5.0997,5.3,4.7403,5.03,117339.4648132,1031
2020-01-18T00:00:00.0000000Z,4.9654,5.01,4.61,4.6313,32539.33044323,264
2020-01-19T00:00:00.0000000Z,4.6275,4.7486,4.35,4.5337,113858.75350373,622
2020-01-20T00:00:00.0000000Z,4.5,4.6655,4.4079,4.4935,28523.72521549,292
2020-01-21T00:00:00.0000000Z,4.4877,4.7383,4.4579,4.6358,78170.13920061,570
2020-01-22T00:00:00.0000000Z,4.6281,4.6774,4.5556,4.6327,48461.91851424,379
2020-01-23T00:00:00.0000000Z,4.6536,4.6569,4.3704,4.4319,124082.90342202,799
2020-01-24T00:00:00.0000000Z,4.45,4.5136,4.3322,4.4494,35249.16240425,263
2020-01-25T00:00:00.0000000Z,4.44,4.4613,3.978,4.3812,12170.53075266,145
2020-01-26T00:00:00.0000000Z,4.375,4.5017,4.3749,4.4732,30710.78533363,259
2020-01-27T00:00:00.0000000Z,4.4622,4.646,4.4001,4.5051,84933.91254528,415
2020-01-28T00:00:00.0000000Z,4.5437,4.6161,4.4701,4.5726,14242.36060351,185
2020-01-29T00:00:00.0000000Z,4.5797,4.5892,4.36,4.4025,74241.51639677,519
2020-01-30T00:00:00.0000000Z,4.3909,4.475,4.2965,4.4067,53842.41862574,482
2020-01-31T00:00:00.0000000Z,4.41,4.6,4.2979,4.3985,26825.9322122,344
2020-02-01T00:00:00.0000000Z,4.439,4.439,4.301,4.3854,37963.7951495,236
2020-02-02T00:00:00.0000000Z,4.3751,4.4677,4.2361,4.3924,45072.5439258,303
2020-02-03T00:00:00.0000000Z,4.3709,4.4917,4.231,4.2638,91532.22072433,530
2020-02-04T00:00:00.0000000Z,4.2553,4.2654,3.9957,4.2154,80075.42984422,616
2020-02-05T00:00:00.0000000Z,4.1995,4.3588,4.1419,4.314,71699.90273751,451
2020-02-06T00:00:00.0000000Z,4.33,4.5848,4.2666,4.5762,39699.67116949,528
2020-02-07T00:00:00.0000000Z,4.585,4.914,4.5072,4.8322,82962.31435541,873
2020-02-08T00:00:00.0000000Z,4.8145,4.8145,4.5086,4.6328,34511.11595873,445
2020-02-09T00:00:00.0000000Z,4.6392,4.7789,4.6198,4.7598,36719.97608997,382
2020-02-10T00:00:00.0000000Z,4.7606,4.7875,4.5325,4.7875,52161.06758029,548
2020-02-11T00:00:00.0000000Z,4.7707,5.2304,4.7,5.1333,87768.78569673,785
2020-02-12T00:00:00.0000000Z,5.1558,5.3243,5.0773,5.1214,44369.33738441,541
2020-02-13T00:00:00.0000000Z,5.1283,5.2526,4.8212,4.8874,109672.10902258,1153
2020-02-14T00:00:00.0000000Z,4.9156,5.1495,4.8643,5.1103,46025.20915724,540
2020-02-15T00:00:00.0000000Z,5.1307,5.1355,4.41,4.603,47850.11657997,565
2020-02-16T00:00:00.0000000Z,4.5746,4.7415,4.0286,4.4292,101590.36193476,1142
2020-02-17T00:00:00.0000000Z,4.3955,4.4157,3.9259,4.2795,53858.06100523,624
2020-02-18T00:00:00.0000000Z,4.28,4.5194,3.9826,4.4384,72192.04177843,756
2020-02-19T00:00:00.0000000Z,4.4327,4.7,4.1201,4.1954,62886.50620064,788
2020-02-20T00:00:00.0000000Z,4.1927,4.5517,4.1166,4.4773,39329.04410267,522
2020-02-21T00:00:00.0000000Z,4.4641,4.9731,4.4339,4.9495,85725.75131329,917
2020-02-22T00:00:00.0000000Z,4.9659,5.1082,4.6578,5.0202,118502.7928171,1008
2020-02-23T00:00:00.0000000Z,5.05,5.0934,4.7432,4.83,42682.30066842,542
2020-02-24T00:00:00.0000000Z,4.8134,4.94,4.1891,4.3861,214429.83658972,2047
2020-02-25T00:00:00.0000000Z,4.404,4.404,3.9935,4.0368,88821.45265014,665
2020-02-26T00:00:00.0000000Z,4.0357,4.0547,3.4504,3.652,131950.57892666,1061
2020-02-27T00:00:00.0000000Z,3.624,3.8747,3.3633,3.675,118417.64620187,953
