aave_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-21T00:00:00.0000000Z,272.36,272.76,200.01,213.01,20096.48293268,2770
2021-06-22T00:00:00.0000000Z,213.38,223.4,170.39,204.1,24141.23146771,3125
2021-06-23T00:00:00.0000000Z,204.17,229.45,200.12,207.8,11832.64432815,1456
2021-06-24T00:00:00.0000000Z,208.27,218.17,193.47,209.93,10536.33997658,1102
2021-06-25T00:00:00.0000000Z,212.72,213.76,182.0,186.55,15840.56240409,1367
2021-06-26T00:00:00.0000000Z,185.86,192.76,176.72,186.45,7666.50282165,999
2021-06-27T00:00:00.0000000Z,187.4,203.09,183.59,202.99,6338.51563894,913
2021-06-28T00:00:00.0000000Z,203.54,232.96,200.94,227.04,14969.45511961,1779
2021-06-29T00:00:00.0000000Z,227.5,253.0,226.11,237.9,10224.39085081,2117
2021-06-30T00:00:00.0000000Z,237.22,252.0,220.2,250.1,6114.80452233,1112
2021-07-01T00:00:00.0000000Z,249.39,251.87,227.66,230.54,10125.94113773,1421
2021-07-02T00:00:00.0000000Z,230.13,234.4,215.72,234.4,7130.86592015,1001
2021-07-03T00:00:00.0000000Z,234.4,266.99,229.25,259.02,7707.49543739,1466
2021-07-04T00:00:00.0000000Z,259.08,289.38,248.26,276.88,8352.89153524,1650
2021-07-05T00:00:00.0000000Z,276.28,318.14,261.81,308.23,10392.22502116,2426
2021-07-06T00:00:00.0000000Z,308.24,347.22,308.24,316.97,14956.74648561,3575
2021-07-07T00:00:00.0000000Z,316.25,331.56,311.51,314.0,7327.28112065,1630
2021-07-08T00:00:00.0000000Z,315.13,315.13,276.43,291.25,18356.05783231,2569
2021-07-09T00:00:00.0000000Z,291.8,314.22,276.42,304.19,6844.26610736,1714
2021-07-10T00:00:00.0000000Z,302.67,311.63,288.36,294.78,4947.99748481,1070
2021-07-11T00:00:00.0000000Z,295.18,310.75,286.88,304.4,4481.33594033,1023
2021-07-12T00:00:00.0000000Z,305.23,324.09,291.67,297.27,31489.31295575,4501
2021-07-13T00:00:00.0000000Z,293.99,296.72,267.92,271.59,10718.84644666,1301
2021-07-14T00:00:00.0000000Z,269.93,285.39,252.29,278.22,8746.47274731,1501
2021-07-15T00:00:00.0000000Z,280.28,287.96,265.16,272.52,9175.39324854,1361
2021-07-16T00:00:00.0000000Z,272.22,279.45,252.72,253.5,4696.39539181,875
2021-07-17T00:00:00.0000000Z,253.94,258.07,246.64,253.92,3004.41299343,639
2021-07-18T00:00:00.0000000Z,253.32,267.48,251.36,255.16,3449.42101999,764
2021-07-19T00:00:00.0000000Z,253.12,255.42,233.34,238.34,17051.11299241,1626
2021-07-20T00:00:00.0000000Z,239.08,242.0,212.88,223.39,8143.504914,1412
2021-07-21T00:00:00.0000000Z,223.04,263.17,217.24,259.05,10268.9939737,1846
2021-07-22T00:00:00.0000000Z,259.28,280.4,256.95,274.32,13019.43527199,1694
2021-07-23T00:00:00.0000000Z,282.82,292.3,268.5,290.73,9113.96721444,1967
2021-07-24T00:00:00.0000000Z,290.63,298.8,282.0,288.15,9127.64027301,1580
2021-07-25T00:00:00.0000000Z,288.7,292.49,272.5,288.15,4857.68924133,968
2021-07-26T00:00:00.0000000Z,287.84,335.74,286.77,302.64,14200.20053167,3810
2021-07-27T00:00:00.0000000Z,302.64,312.53,284.41,300.35,10261.99617324,2348
2021-07-28T00:00:00.0000000Z,299.52,308.72,292.49,297.37,5669.69960818,1470
2021-07-29T00:00:00.0000000Z,295.55,315.5,293.33,311.66,8473.15648942,1233
2021-07-30T00:00:00.0000000Z,313.21,323.22,300.27,321.56,4518.49433167,1270
2021-07-31T00:00:00.0000000Z,320.45,332.82,313.41,330.98,4218.69283398,1025
2021-08-01T00:00:00.0000000Z,329.71,339.34,314.51,317.05,5718.04786741,1618
2021-08-02T00:00:00.0000000Z,316.6,328.59,309.68,320.65,3863.28909185,998
2021-08-03T00:00:00.0000000Z,319.87,323.71,302.56,308.31,8660.123408,1748
2021-08-04T00:00:00.0000000Z,307.13,342.76,300.58,338.45,6032.49913752,4762
2021-08-05T00:00:00.0000000Z,338.57,382.5,337.71,373.32,10735.9617537,4224
