ethc_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-21T00:00:00.0000000Z,7.902,8.15,7.01,7.135,32329.44907344,951
2021-01-22T00:00:00.0000000Z,7.134,7.583,6.66,7.468,64988.46311958,979
2021-01-23T00:00:00.0000000Z,7.447,7.632,7.256,7.522,25336.5916522,544
2021-01-24T00:00:00.0000000Z,7.42,7.798,7.416,7.671,21584.54460563,690
2021-01-25T00:00:00.0000000Z,7.665,7.966,7.368,7.52,42314.44890806,992
2021-01-26T00:00:00.0000000Z,7.471,7.612,7.062,7.473,25815.67729805,600
2021-01-27T00:00:00.0000000Z,7.44,7.44,6.664,6.858,13357.9894915,689
2021-01-28T00:00:00.0000000Z,6.842,8.59,6.782,7.688,83624.4746038,1675
2021-01-29T00:00:00.0000000Z,7.734,8.095,7.435,7.634,99715.38016099,1741
2021-01-30T00:00:00.0000000Z,7.633,7.789,7.327,7.576,37543.46169545,1101
2021-01-31T00:00:00.0000000Z,7.561,7.663,7.2,7.416,23565.29339687,949
2021-02-01T00:00:00.0000000Z,7.4,7.701,6.9,7.52,41192.53363838,1239
2021-02-02T00:00:00.0000000Z,7.52,7.899,7.472,7.8,43131.97512629,1247
2021-02-03T00:00:00.0000000Z,7.796,7.99,7.661,7.936,43155.24584312,1277
2021-02-04T00:00:00.0000000Z,7.946,8.097,7.405,7.657,27719.94150489,1076
2021-02-05T00:00:00.0000000Z,7.673,8.95,7.645,8.527,94975.78254002,2867
2021-02-06T00:00:00.0000000Z,8.528,9.143,8.252,8.796,116475.81288935,3133
2021-02-07T00:00:00.0000000Z,8.79,8.893,7.864,8.319,64580.00591714,2201
2021-02-08T00:00:00.0000000Z,8.315,8.847,8.126,8.72,42426.58467421,1642
2021-02-09T00:00:00.0000000Z,8.72,10.1,8.655,9.69,172000.84059223,3445
2021-02-10T00:00:00.0000000Z,9.654,11.59,9.311,10.39,202174.14811325,4745
2021-02-11T00:00:00.0000000Z,10.456,11.766,10.35,11.73,101603.99787357,3539
2021-02-12T00:00:00.0000000Z,11.77,14.0,11.18,12.039,93618.19269143,2624
2021-02-13T00:00:00.0000000Z,12.055,18.676,11.939,17.0,266945.12985385,9402
2021-02-14T00:00:00.0000000Z,17.001,18.294,15.988,16.081,153342.81458396,6168
2021-02-15T00:00:00.0000000Z,16.137,16.755,13.162,14.753,164193.7044474,5619
2021-02-16T00:00:00.0000000Z,14.752,15.5,13.656,14.451,68933.89451348,2619
2021-02-17T00:00:00.0000000Z,14.412,15.809,13.747,15.293,61817.23233941,2675
2021-02-18T00:00:00.0000000Z,15.308,17.69,14.676,14.968,73843.4595279,2456
2021-02-19T00:00:00.0000000Z,14.969,15.961,14.305,15.362,56925.88631249,2457
2021-02-20T00:00:00.0000000Z,15.415,17.5,14.62,15.129,118941.92955208,4612
2021-02-21T00:00:00.0000000Z,14.921,16.359,14.921,15.741,43605.83916063,2097
2021-02-22T00:00:00.0000000Z,15.544,15.703,11.95,14.011,122036.25120789,3468
2021-02-23T00:00:00.0000000Z,14.014,14.014,9.271,11.396,207518.66836871,4473
2021-02-24T00:00:00.0000000Z,11.396,12.69,10.941,11.905,89179.12457184,1849
2021-02-25T00:00:00.0000000Z,11.887,12.516,10.971,11.006,41005.58726351,1659
2021-02-26T00:00:00.0000000Z,10.97,11.265,10.1,10.727,34404.51671251,1436
2021-02-27T00:00:00.0000000Z,10.732,11.49,10.732,11.102,22395.68239832,1256
2021-02-28T00:00:00.0000000Z,11.07,11.089,9.75,10.38,41484.52188791,1307
2021-03-01T00:00:00.0000000Z,10.424,11.384,10.218,11.112,32290.74123464,964
2021-03-02T00:00:00.0000000Z,11.153,11.536,10.613,10.899,49637.58913106,1506
2021-03-03T00:00:00.0000000Z,10.865,11.901,10.845,11.348,78961.00314016,1236
2021-03-04T00:00:00.0000000Z,11.21,11.718,10.711,11.005,28188.95680521,1002
2021-03-05T00:00:00.0000000Z,10.983,11.09,10.357,10.955,16789.04161265,630
2021-03-06T00:00:00.0000000Z,10.994,11.215,10.642,11.122,26871.76800968,603
2021-03-07T00:00:00.0000000Z,11.159,11.773,11.126,11.522,17260.31026489,737
2021-03-08T00:00:00.0000000Z,11.586,12.368,11.062,11.756,53223.34376531,1062
2021-03-09T00:00:00.0000000Z,11.761,12.663,11.575,12.382,56209.50898542,1365
2021-03-10T00:00:00.0000000Z,12.413,12.76,11.695,11.977,33199.53907865,1068
2021-03-11T00:00:00.0000000Z,12.038,12.562,11.777,12.249,62545.72100012,1255
2021-03-12T00:00:00.0000000Z,12.341,12.561,11.422,11.927,27452.99256944,756
2021-03-13T00:00:00.0000000Z,11.933,14.292,11.559,13.824,84757.53683188,2297
2021-03-14T00:00:00.0000000Z,13.827,14.092,12.77,12.77,38980.21207686,1172
2021-03-15T00:00:00.0000000Z,12.807,13.109,11.828,12.11,48685.02151971,1207
2021-03-16T00:00:00.0000000Z,12.142,12.56,11.553,12.435,18377.10788999,749
2021-03-17T00:00:00.0000000Z,12.443,12.58,11.827,12.58,27390.14023042,823
2021-03-18T00:00:00.0000000Z,12.579,12.646,12.1,12.151,27360.49319938,872
2021-03-19T00:00:00.0000000Z,12.115,12.412,11.909,12.267,15648.71847024,604
2021-03-20T00:00:00.0000000Z,12.227,12.875,12.227,12.288,30885.35265291,883
2021-03-21T00:00:00.0000000Z,12.253,12.44,11.937,11.98,12105.60687021,416
2021-03-22T00:00:00.0000000Z,11.95,12.377,11.55,11.656,24161.34283942,791
2021-03-23T00:00:00.0000000Z,11.65,12.661,11.65,12.189,34816.91577577,1087
2021-03-24T00:00:00.0000000Z,12.221,12.579,11.001,11.373,27601.78630609,977
2021-03-25T00:00:00.0000000Z,11.3,11.446,10.788,11.104,25080.58978687,556
2021-03-26T00:00:00.0000000Z,11.168,11.791,11.168,11.791,10787.35496511,524
2021-03-27T00:00:00.0000000Z,11.782,11.978,11.469,11.807,7040.44077276,412
2021-03-28T00:00:00.0000000Z,11.762,12.044,11.729,11.86,8474.29761707,385
2021-03-29T00:00:00.0000000Z,11.855,12.75,11.73,12.606,20382.25185774,796
2021-03-30T00:00:00.0000000Z,12.622,13.04,12.301,13.0,27392.65413969,896
2021-03-31T00:00:00.0000000Z,13.002,14.305,12.636,14.116,53946.08103938,1983
2021-04-01T00:00:00.0000000Z,14.187,14.483,13.594,14.332,37123.10143482,1327
2021-04-02T00:00:00.0000000Z,14.332,15.59,14.111,15.228,56890.56757591,1961
2021-04-03T00:00:00.0000000Z,15.274,15.304,13.513,13.549,35433.7899646,1194
2021-04-04T00:00:00.0000000Z,13.537,14.607,13.384,14.589,24018.07147823,779
2021-04-05T00:00:00.0000000Z,14.603,16.039,14.335,16.008,50976.45447827,1805
2021-04-06T00:00:00.0000000Z,16.044,18.602,15.982,17.73,177845.16506352,4110
2021-04-07T00:00:00.0000000Z,17.73,20.775,16.91,19.142,225590.9468131,6478
2021-04-08T00:00:00.0000000Z,19.133,19.864,18.017,19.599,36243.25052992,1737
